CardID,R_Score,F_Score,M_Score,RFM_Segment,Segment
C0100191683,3,1,2,312,Other
C0100191761,4,1,1,411,Other
C0100191791,5,1,2,512,Other
C0100191864,1,5,4,154,Other
C0100192651,2,3,1,231,Other
C0100192811,1,1,1,111,Other
C0100193108,4,1,1,411,Other
C0100193394,2,2,1,221,Other
C0100193664,1,1,2,112,Other
C0100193949,2,1,4,214,Other
C0100194010,2,1,5,215,Other
C0100194062,1,3,3,133,Other
C0100194351,5,2,4,524,Other
C0100194772,2,1,2,212,Other
C0100195288,2,5,5,255,Other
C0100195580,1,2,1,121,Other
C0100195854,1,5,4,154,Other
C0100196285,1,1,1,111,Other
C0100196309,1,1,1,111,Other
C0100196694,5,3,5,535,Other
C0100197285,5,5,5,555,Soulmates
C0100197527,5,5,4,554,Lovers
C0100198028,2,3,3,233,Other
C0100198045,3,4,1,341,Other
C0100198422,1,2,2,122,Other
C0100198751,1,2,4,124,Other
C0100198938,2,1,4,214,Other
C0100199017,1,1,1,111,Other
C0100199348,1,1,3,113,Other
C0100199890,4,1,4,414,Other
C0100200126,1,1,3,113,Other
C0100200237,5,3,1,531,Other
C0100200362,2,1,2,212,Other
C0100200679,1,5,4,154,Other
C0100200779,1,1,3,113,Other
C0100200842,5,3,4,534,Other
C0100200880,1,1,1,111,Other
C0100200897,1,1,5,115,Other
C0100200936,4,5,1,451,Other
C0100201318,3,3,2,332,Other
C0100201521,1,1,1,111,Other
C0100201947,5,5,3,553,Other
C0100202212,2,2,3,223,Other
C0100202279,1,1,1,111,Other
C0100202489,4,5,4,454,Lovers
C0100202591,1,1,3,113,Other
C0100202614,2,3,1,231,Other
C0100202952,2,5,5,255,Other
C0100203124,1,1,5,115,Other
C0100203416,1,1,2,112,Other
C0100203586,3,2,4,324,Other
C0100203664,4,2,2,422,Other
C0100203781,2,4,5,245,Other
C0100203869,2,2,3,223,Other
C0100204012,2,2,2,222,Other
C0100204154,1,1,1,111,Other
C0100204303,5,5,4,554,Lovers
C0100204629,5,2,3,523,Other
C0100205054,3,2,3,323,Other
C0100205222,4,3,4,434,Other
C0100205678,5,4,2,542,Other
C0100205733,5,5,5,555,Soulmates
C0100206045,5,1,1,511,Apprentice
